ID,Volpiano
"mSCH143
Cantus ID:
Genre: Al | Mode:",1--dc--f--gh--hjkhjhgfgdhgfdeddccdfffeffffhghfd-------
"mSCH143a
Cantus ID:
Genre: Al | Mode:",1--dc--dededcfghhgf--gh--hkhjhfgijhgdfedhgfdedc-------
"mSCH143b
Cantus ID:
Genre: Al | Mode:",1--d--dfefdcddc--fghgfgh--hjkhjhhfgjggdfehgfdeddc-----
"mSCH144
Cantus ID:
Genre: Al | Mode:",1--d--ff--gfhgh--hkhjkjhhghjhggffghjhhghg-------------
"mSCH145
Cantus ID:
Genre: Al | Mode:",1--ddh--hjkjhh--gh--hhgfefedecefgfedhhgkjghdh---------
"mSCH145a
Cantus ID:
Genre: Al | Mode:",1--dh--hjghjkjhh--gh--hhgfefdecefgfedhhg--------------
"mSCH146
Cantus ID:
Genre: Al | Mode:",1--d--hkhg--ghkjk--hhkhghkjkhkhghhkhghkjkhkhghh-------
"mSCH147
Cantus ID:
Genre: Al | Mode:",1--dhh--hgfghkh--hjh--hdefgfefededcdhjghefedc---------
"mSCH148
Cantus ID:
Genre: Al | Mode:",1--defe--dc--fghj--hgkhjhfgjhgefhgfdeddccdff----------
"mSCH148a
Cantus ID:
Genre: Al | Mode:",1--cdf--fdeddc--fghj--hgkjjhfgjhgefhgfdeddccd---------
"mSCH149
Cantus ID:
Genre: Al | Mode:",1--dc--dfdeddc--fgj--hgkhjhfgjhgefhgfdeddcc-----------
"mSCH149a
Cantus ID:
Genre: Al | Mode:",1--cdef--fefddc--fghj--hgkhjhfgjhgefhgfdeddccdff------
"mSCH150
Cantus ID:
Genre: Al | Mode:",1--defe--ed--ghjkjhgh--hfghjhgfggeggfeggfedefefd------
"mSCH150a
Cantus ID:
Genre: Al | Mode:",1--cf--eed--cdd--cdefedccdcdefedccddgfefed------------
"mSCH151
Cantus ID:
Genre: Al | Mode:",1--dfed--dgfgf--ggjhjkkjhjhjjhghjh--kkjhkhjkkjh-------
"mSCH152
Cantus ID:
Genre: Al | Mode:",1--ed--dfdeddd--cd--ddefggfgefdecdefddefgg------------
"mSCH153
Cantus ID:
Genre: Al | Mode:",1--e--ghkhg--ghkjk--hghhkhgghkjhkhhghh----------------
"mSCH154
Cantus ID:
Genre: Al | Mode:",1--fg--fedc--ded--efgfedfcedffegfghgffedcdefd---------
"mSCH155
Cantus ID:
Genre: Al | Mode:",1--fg--edffd--fhjghggff--fhjghggfghefdedcdfded--------
"mSCH155a
Cantus ID:
Genre: Al | Mode:",1--fg--edefd--hgfhjggf--ffhhghggfedfgffdedc-----------
"mSCH156
Cantus ID:
Genre: Al | Mode:",1--gh--hjkhg--hlklkjhgjj--hhjkllkjhjhghjkjhhgklk------
"mSCH157
Cantus ID:
Genre: Al | Mode:",1--h--g--hgfg--gjghhgfededfecdhghfggedfecd------------
"mSCH158
Cantus ID:
Genre: Al | Mode:",1--hhg--ed--fdd--cddfededcddefeedhhgeedcdeed----------
"mSCH159
Cantus ID:
Genre: Al | Mode:",1--hg--hggfe--fe--ddcfgfhghghfegdecdcdf---------------
"mSCH159a
Cantus ID:
Genre: Al | Mode:",1--dhkh--hggfe--fed--dcegehhhgffedfdceghecde----------
"mSCH160
Cantus ID:
Genre: Al | Mode:",1--hg--hgfed--ef--dhhghgfgfghhdfefggfghhgfedffd-------
"mSCH161
Cantus ID:
Genre: Al | Mode:",1--hhg--fhggfede--dcdef--dfghhgefggdefdhhghgfg--------
